Name	Id	Crate	ModId	Type	Index1	Index2	Channel	Type	Parameter	Ethreshold(call)	Emax(cal)	EOffset	EFactor	TOffset	TFactor	Ebin	Elow	Ehigh	Tbin	Tlow	Thigh	NumOfCallSections	Xlow	Xhigh	Offset	Fact1	Fact2	Xlow	Xhigh	Offset	Fact1	Fact2	Xlow	Xhigh	Offset	Fact1	Fact2
He001	0	1	1	1	1	0	0	SIS3316	EFIR	120	10000	0	0.000807502	0	20	3500	0	3500	1000	0	200000	0															
He002	1	1	1	1	1	0	1	SIS3316	EFIR	120	10000	0	0.0007966696	0	20	3500	0	3500	1000	0	200000	0															
He003	2	1	1	1	1	0	2	SIS3316	EFIR	120	10000	0	0.0008451487	0	20	3500	0	3500	1000	0	200000	0															
He004	3	1	1	1	2	0	3	SIS3316	EFIR	120	10000	0	0.000792517	0	20	3500	0	3500	1000	0	200000	0															
He005	4	1	1	1	2	0	4	SIS3316	EFIR	120	10000	0	0.0008034576	0	20	3500	0	3500	1000	0	200000	0															
He006	5	1	1	1	3	0	5	SIS3316	EFIR	120	10000	0	0.0008882507	0	20	3500	0	3500	1000	0	200000	0															
He007	6	1	1	1	1	0	6	SIS3316	EFIR	120	10000	0	0.0008003155	0	20	3500	0	3500	1000	0	200000	0															
He008	7	1	1	1	1	0	7	SIS3316	EFIR	120	10000	0	0.0008245994	0	20	3500	0	3500	1000	0	200000	0															
He009	8	1	1	1	1	0	8	SIS3316	EFIR	120	10000	0	0.000809901	0	20	3500	0	3500	1000	0	200000	0															
He010	9	1	1	1	2	0	9	SIS3316	EFIR	120	10000	0	0.000820137	0	20	3500	0	3500	1000	0	200000	0															
He011	10	1	1	1	2	0	10	SIS3316	EFIR	120	10000	0	0.00078482	0	20	3500	0	3500	1000	0	200000	0															
He012	11	1	1	1	3	0	11	SIS3316	EFIR	120	10000	0	0.000804308	0	20	3500	0	3500	1000	0	200000	0															
He021	12	1	1	1	1	0	12	SIS3316	EFIR	120	10000	0	0.000883153	0	20	3500	0	3500	1000	0	200000	0															
He022	13	1	1	1	2	0	13	SIS3316	EFIR	120	10000	0	0.000901874	0	20	3500	0	3500	1000	0	200000	0															
He023	14	1	1	1	2	0	14	SIS3316	EFIR	120	10000	0	0.000881293	0	20	3500	0	3500	1000	0	200000	0															
He024	15	1	1	1	3	0	15	SIS3316	EFIR	120	10000	0	0.0009119468	0	20	3500	0	3500	1000	0	200000	0															
He013	16	1	2	1	1	0	0	SIS3316	EFIR	120	10000	0	0.000883137	0	20	3500	0	3500	1000	0	200000	0															
He014	17	1	2	1	1	0	1	SIS3316	EFIR	120	10000	0	0.000890012	0	20	3500	0	3500	1000	0	200000	0															
He015	18	1	2	1	1	0	2	SIS3316	EFIR	120	10000	0	0.000892132	0	20	3500	0	3500	1000	0	200000	0															
He016	19	1	2	1	2	0	3	SIS3316	EFIR	120	10000	0	0.000881072	0	20	3500	0	3500	1000	0	200000	0															
He017	20	1	2	1	2	0	4	SIS3316	EFIR	120	10000	0	0.000884337	0	20	3500	0	3500	1000	0	200000	0															
He018	21	1	2	1	3	0	5	SIS3316	EFIR	120	10000	0	0.000888505	0	20	3500	0	3500	1000	0	200000	0															
He019	22	1	2	1	1	0	6	SIS3316	EFIR	120	10000	0	0.000892845	0	20	3500	0	3500	1000	0	200000	0															
He020	23	1	2	1	1	0	7	SIS3316	EFIR	120	10000	0	0.000897665	0	20	3500	0	3500	1000	0	200000	0															
He031	24	1	2	1	3	1	8	SIS3316	EFIR	120	10000	0	0.00126943	0	20	3500	0	3500	1000	0	200000	0															
He032	25	1	2	1	3	1	9	SIS3316	EFIR	120	10000	0	0.00123783	0	20	3500	0	3500	1000	0	200000	0															
He033	26	1	2	1	2	1	10	SIS3316	EFIR	120	10000	0	0.00127639	0	20	3500	0	3500	1000	0	200000	0															
He034	27	1	2	1	2	1	11	SIS3316	EFIR	120	10000	0	0.00126828	0	20	3500	0	3500	1000	0	200000	0															
He035	28	1	2	1	2	1	12	SIS3316	EFIR	120	10000	0	0.0012603	0	20	3500	0	3500	1000	0	200000	0															
He036	29	1	2	1	2	1	13	SIS3316	EFIR	120	10000	0	0.00131271	0	20	3500	0	3500	1000	0	200000	0															
He037	30	1	2	1	3	1	14	SIS3316	EFIR	120	10000	0	0.00131355	0	20	3500	0	3500	1000	0	200000	0															
He038	31	1	2	1	3	1	15	SIS3316	EFIR	120	10000	0	0.00123794	0	20	3500	0	3500	1000	0	200000	0															
He025	32	1	3	1	3	1	0	SIS3316	EFIR	120	10000	0	0.0012566	0	20	3500	0	3500	1000	0	200000	0															
He026	33	1	3	1	1	1	1	SIS3316	EFIR	120	10000	0	0.00129234	0	20	3500	0	3500	1000	0	200000	0															
He027	34	1	3	1	1	1	2	SIS3316	EFIR	120	10000	0	0.00131105	0	20	3500	0	3500	1000	0	200000	0															
He028	35	1	3	1	1	1	3	SIS3316	EFIR	120	10000	0	0.00126285	0	20	3500	0	3500	1000	0	200000	0															
He029	36	1	3	1	1	1	4	SIS3316	EFIR	120	10000	0	0.00128736	0	20	3500	0	3500	1000	0	200000	0															
He030	37	1	3	1	1	1	5	SIS3316	EFIR	120	10000	0	0.00128879	0	20	3500	0	3500	1000	0	200000	0															
He043	38	1	3	1	3	1	6	SIS3316	EFIR	120	10000	0	0.0014062	0	20	3500	0	3500	1000	0	200000	0															
He044	39	1	3	1	3	1	7	SIS3316	EFIR	120	10000	0	0.00142331	0	20	3500	0	3500	1000	0	200000	0															
He045	40	1	3	1	3	1	8	SIS3316	EFIR	120	10000	0	0.00138377	0	20	3500	0	3500	1000	0	200000	0															
He046	41	1	3	1	1	1	9	SIS3316	EFIR	120	10000	0	0.00143469	0	20	3500	0	3500	1000	0	200000	0															
He047	42	1	3	1	1	1	10	SIS3316	EFIR	120	10000	0	0.00141457	0	20	3500	0	3500	1000	0	200000	0															
He048	43	1	3	1	1	1	11	SIS3316	EFIR	120	10000	0	0.00137187	0	20	3500	0	3500	1000	0	200000	0															
He049	44	1	3	1	1	1	12	SIS3316	EFIR	120	10000	0	0.0014929	0	20	3500	0	3500	1000	0	200000	0															
He050	45	1	3	1	1	1	13	SIS3316	EFIR	120	10000	0	0.00145672	0	20	3500	0	3500	1000	0	200000	0															
He051	46	1	3	1	3	1	14	SIS3316	EFIR	120	10000	0	0.00143753	0	20	3500	0	3500	1000	0	200000	0															
He052	47	1	3	1	3	1	15	SIS3316	EFIR	120	10000	0	0.00140445	0	20	3500	0	3500	1000	0	200000	0															
He039	48	1	4	1	3	1	0	SIS3316	EFIR	120	10000	0	0.00144939	0	20	3500	0	3500	1000	0	200000	0															
He040	49	1	4	1	3	1	1	SIS3316	EFIR	120	10000	0	0.00141155	0	20	3500	0	3500	1000	0	200000	0															
He041	50	1	4	1	3	1	2	SIS3316	EFIR	120	10000	0	0.00140412	0	20	3500	0	3500	1000	0	200000	0															
He042	51	1	4	1	3	1	3	SIS3316	EFIR	120	10000	0	0.00145083	0	20	3500	0	3500	1000	0	200000	0															
He053	52	1	4	1	2	1	4	SIS3316	EFIR	120	10000	0	0.000539188	0	20	3500	0	3500	1000	0	200000	0															
He054	53	1	4	1	2	1	5	SIS3316	EFIR	120	10000	0	0.000535295	0	20	3500	0	3500	1000	0	200000	0															
He055	54	1	4	1	2	1	6	SIS3316	EFIR	120	10000	0	0.000550983	0	20	3500	0	3500	1000	0	200000	0															
He056	55	1	4	1	2	1	7	SIS3316	EFIR	120	10000	0	0.00053126	0	20	3500	0	3500	1000	0	200000	0															
He057	56	1	4	1	3	1	8	SIS3316	EFIR	120	10000	0	0.000544984	0	20	3500	0	3500	1000	0	200000	0															
He058	57	1	4	1	3	1	9	SIS3316	EFIR	120	10000	0	0.000546973	0	20	3500	0	3500	1000	0	200000	0															
He059	58	1	4	1	3	1	10	SIS3316	EFIR	120	10000	0	0.000540405	0	20	3500	0	3500	1000	0	200000	0															
He060	59	1	4	1	3	1	11	SIS3316	EFIR	120	10000	0	0.000570587	0	20	3500	0	3500	1000	0	200000	0															
He061	60	1	4	1	3	1	12	SIS3316	EFIR	120	10000	0	0.000542264	0	20	3500	0	3500	1000	0	200000	0															
He062	61	1	4	1	3	1	13	SIS3316	EFIR	120	10000	0	0.000539482	0	20	3500	0	3500	1000	0	200000	0															
He063	62	1	4	1	3	1	14	SIS3316	EFIR	120	10000	0	0.000546096	0	20	3500	0	3500	1000	0	200000	0															
He064	63	1	4	1	3	1	15	SIS3316	EFIR	120	10000	0	0.000559717	0	20	3500	0	3500	1000	0	200000	0															
He065	64	1	5	1	5	2	0	SIS3316	EFIR	120	10000	0	0.000640421	0	20	3500	0	3500	1000	0	200000	0															
He066	65	1	5	1	4	2	1	SIS3316	EFIR	120	10000	0	0.000667932	0	20	3500	0	3500	1000	0	200000	0															
He067	66	1	5	1	4	2	2	SIS3316	EFIR	120	10000	0	0.000651215	0	20	3500	0	3500	1000	0	200000	0															
He068	67	1	5	1	5	2	3	SIS3316	EFIR	120	10000	0	0.000650567	0	20	3500	0	3500	1000	0	200000	0															
He069	68	1	5	1	7	2	4	SIS3316	EFIR	120	10000	0	0.000654021	0	20	3500	0	3500	1000	0	200000	0															
He070	69	1	5	1	7	2	5	SIS3316	EFIR	120	10000	0	0.000647755	0	20	3500	0	3500	1000	0	200000	0															
He071	70	1	5	1	7	2	6	SIS3316	EFIR	120	10000	0	0.000669808	0	20	3500	0	3500	1000	0	200000	0															
He072	71	1	5	1	7	2	7	SIS3316	EFIR	120	10000	0	0.000649558	0	20	3500	0	3500	1000	0	200000	0															
He073	72	1	5	1	5	2	8	SIS3316	EFIR	120	10000	0	0.000661141	0	20	3500	0	3500	1000	0	200000	0															
He074	73	1	5	1	4	2	9	SIS3316	EFIR	120	10000	0	0.000654012	0	20	3500	0	3500	1000	0	200000	0															
He075	74	1	5	1	4	2	10	SIS3316	EFIR	120	10000	0	0.000671785	0	20	3500	0	3500	1000	0	200000	0															
He076	75	1	5	1	5	2	11	SIS3316	EFIR	120	10000	0	0.000665415	0	20	3500	0	3500	1000	0	200000	0															
He077	76	1	5	1	7	2	12	SIS3316	EFIR	120	10000	0	0.000654976	0	20	3500	0	3500	1000	0	200000	0															
He078	77	1	5	1	7	2	13	SIS3316	EFIR	120	10000	0	0.000653886	0	20	3500	0	3500	1000	0	200000	0															
He079	78	1	5	1	7	2	14	SIS3316	EFIR	120	10000	0	0.000655567	0	20	3500	0	3500	1000	0	200000	0															
He080	79	1	5	1	7	2	15	SIS3316	EFIR	120	10000	0	0.000649916	0	20	3500	0	3500	1000	0	200000	0															
He081	80	1	6	1	4	3	0	SIS3316	EFIR	120	10000	0	0.000557362	0	20	3500	0	3500	1000	0	200000	0															
He082	81	1	6	1	4	3	1	SIS3316	EFIR	120	10000	0	0.000550055	0	20	3500	0	3500	1000	0	200000	0															
He083	82	1	6	1	4	3	2	SIS3316	EFIR	120	10000	0	0.00050121	0	20	3500	0	3500	1000	0	200000	0															
He084	83	1	6	1	4	3	3	SIS3316	EFIR	120	10000	0	0.000518147	0	20	3500	0	3500	1000	0	200000	0															
He085	84	1	6	1	4	3	4	SIS3316	EFIR	120	10000	0	0.000539778	0	20	3500	0	3500	1000	0	200000	0															
He086	85	1	6	1	5	3	5	SIS3316	EFIR	120	10000	0	0.000548182	0	20	3500	0	3500	1000	0	200000	0															
He087	86	1	6	1	5	3	6	SIS3316	EFIR	120	10000	0	0.000545587	0	20	3500	0	3500	1000	0	200000	0															
He088	87	1	6	1	5	3	7	SIS3316	EFIR	120	10000	0	0.000507506	0	20	3500	0	3500	1000	0	200000	0															
He089	88	1	6	1	5	3	8	SIS3316	EFIR	120	10000	0	0.000511626	0	20	3500	0	3500	1000	0	200000	0															
He090	89	1	6	1	5	3	9	SIS3316	EFIR	120	10000	0	0.00051489	0	20	3500	0	3500	1000	0	200000	0															
He091	90	1	6	1	5	3	10	SIS3316	EFIR	120	10000	0	0.000505332	0	20	3500	0	3500	1000	0	200000	0															
He092	91	1	6	1	6	3	11	SIS3316	EFIR	120	10000	0	0.000504664	0	20	3500	0	3500	1000	0	200000	0															
He093	92	1	6	1	6	3	12	SIS3316	EFIR	120	10000	0	0.000512227	0	20	3500	0	3500	1000	0	200000	0															
He094	93	1	6	1	6	3	13	SIS3316	EFIR	120	10000	0	0.000518939	0	20	3500	0	3500	1000	0	200000	0															
He095	94	1	6	1	6	3	14	SIS3316	EFIR	120	10000	0	0.000516268	0	20	3500	0	3500	1000	0	200000	0															
He096	95	2	1	1	6	3	0	SIS3302	EFIR	120	10000	0	0.000129852	0	20	3500	0	3500	1000	0	200000	0															
He097	96	2	1	1	6	3	1	SIS3302	EFIR	120	10000	0	0.000131212	0	20	3500	0	3500	1000	0	200000	0															
He098	97	2	1	1	6	3	2	SIS3302	EFIR	120	10000	0	0.000132759	0	20	3500	0	3500	1000	0	200000	0															
He099	98	2	1	1	6	3	3	SIS3302	EFIR	120	10000	0	0.000131197	0	20	3500	0	3500	1000	0	200000	0															
He100	99	2	1	1	6	3	4	SIS3302	EFIR	120	10000	0	0.000130307	0	20	3500	0	3500	1000	0	200000	0															
He101	100	2	1	1	7	3	5	SIS3302	EFIR	120	10000	0	0.000131164	0	20	3500	0	3500	1000	0	200000	0															
He102	101	2	1	1	7	3	6	SIS3302	EFIR	120	10000	0	0.000129263	0	20	3500	0	3500	1000	0	200000	0															
He103	102	2	1	1	7	3	7	SIS3302	EFIR	120	10000	0	0.000131641	0	20	3500	0	3500	1000	0	200000	0															
He104	103	2	2	1	7	3	0	SIS3302	EFIR	120	10000	0	0.000129631	0	20	3500	0	3500	1000	0	200000	0															
He105	104	2	2	1	7	3	1	SIS3302	EFIR	120	10000	0	0.000131767	0	20	3500	0	3500	1000	0	200000	0															
He106	105	2	2	1	7	3	2	SIS3302	EFIR	120	10000	0	0.000131115	0	20	3500	0	3500	1000	0	200000	0															
He107	106	2	2	1	7	3	3	SIS3302	EFIR	120	10000	0	0.000144548	0	20	3500	0	3500	1000	0	200000	0															
He108	107	2	2	1	7	3	4	SIS3302	EFIR	120	10000	0	0.000131547	0	20	3500	0	3500	1000	0	200000	0															
He109	108	2	2	1	7	3	5	SIS3302	EFIR	120	10000	0	0.000132571	0	20	3500	0	3500	1000	0	200000	0															
He110	109	2	2	1	7	3	6	SIS3302	EFIR	120	10000	0	0.000133191	0	20	3500	0	3500	1000	0	200000	0															
He111	110	2	3	1	4	3	0	SIS3302	EFIR	120	10000	0	0.000127576	0	20	3500	0	3500	1000	0	200000	0															
He112	111	2	3	1	4	3	1	SIS3302	EFIR	120	10000	0	0.000130547	0	20	3500	0	3500	1000	0	200000	0															
He113	112	2	3	1	4	3	2	SIS3302	EFIR	120	10000	0	0.000128209	0	20	3500	0	3500	1000	0	200000	0															
He114	113	2	3	1	4	3	3	SIS3302	EFIR	120	10000	0	0.00013208	0	20	3500	0	3500	1000	0	200000	0															
He115	114	2	3	1	4	3	4	SIS3302	EFIR	120	10000	0	0.000132839	0	20	3500	0	3500	1000	0	200000	0															
He116	115	2	3	1	5	3	5	SIS3302	EFIR	120	10000	0	0.000127298	0	20	3500	0	3500	1000	0	200000	0															
He117	116	2	3	1	5	3	6	SIS3302	EFIR	120	10000	0	0.000129108	0	20	3500	0	3500	1000	0	200000	0															
He118	117	2	3	1	5	3	7	SIS3302	EFIR	120	10000	0	0.000134917	0	20	3500	0	3500	1000	0	200000	0															
He119	118	2	4	1	5	3	0	SIS3302	EFIR	120	10000	0	0.000134458	0	20	3500	0	3500	1000	0	200000	0															
He120	119	2	4	1	5	3	1	SIS3302	EFIR	120	10000	0	0.000125501	0	20	3500	0	3500	1000	0	200000	0															
He121	120	2	4	1	5	3	2	SIS3302	EFIR	120	10000	0	0.000128145	0	20	3500	0	3500	1000	0	200000	0															
He122	121	2	4	1	6	3	3	SIS3302	EFIR	120	10000	0	0.000132339	0	20	3500	0	3500	1000	0	200000	0															
He123	122	2	4	1	6	3	4	SIS3302	EFIR	120	10000	0	0.000132855	0	20	3500	0	3500	1000	0	200000	0															
He124	123	2	4	1	6	3	5	SIS3302	EFIR	120	10000	0	0.000139105	0	20	3500	0	3500	1000	0	200000	0															
He125	124	2	4	1	6	3	6	SIS3302	EFIR	120	10000	0	0.000130536	0	20	3500	0	3500	1000	0	200000	0															
He126	125	2	5	1	6	3	0	SIS3302	EFIR	120	10000	0	0.000130205	0	20	3500	0	3500	1000	0	200000	0															
He127	126	2	5	1	6	3	1	SIS3302	EFIR	120	10000	0	0.000130204	0	20	3500	0	3500	1000	0	200000	0															
He128	127	2	5	1	6	3	2	SIS3302	EFIR	120	10000	0	0.000132938	0	20	3500	0	3500	1000	0	200000	0															
He129	128	2	5	1	6	3	3	SIS3302	EFIR	120	10000	0	0.000133857	0	20	3500	0	3500	1000	0	200000	0															
He130	129	2	5	1	6	3	4	SIS3302	EFIR	120	10000	0	0.000129359	0	20	3500	0	3500	1000	0	200000	0															
He131	130	2	5	1	7	3	5	SIS3302	EFIR	120	10000	0	0.0001370846	0	20	3500	0	3500	1000	0	200000	0															
He132	131	2	5	1	7	3	6	SIS3302	EFIR	120	10000	0	0.000128561	0	20	3500	0	3500	1000	0	200000	0															
He133	132	2	5	1	7	3	7	SIS3302	EFIR	120	10000	0	0.0001331694	0	20	3500	0	3500	1000	0	200000	0															
He134	133	2	6	1	7	3	0	SIS3302	EFIR	120	10000	0	0.0001370063	0	20	3500	0	3500	1000	0	200000	0															
He135	134	2	6	1	7	3	1	SIS3302	EFIR	120	10000	0	0.00013444	0	20	3500	0	3500	1000	0	200000	0															
He136	135	2	6	1	7	3	2	SIS3302	EFIR	120	10000	0	0.000128301	0	20	3500	0	3500	1000	0	200000	0															
He137	136	2	6	1	7	3	3	SIS3302	EFIR	120	10000	0	0.00012958	0	20	3500	0	3500	1000	0	200000	0															
He138	137	2	6	1	7	3	4	SIS3302	EFIR	120	10000	0	0.000129081	0	20	3500	0	3500	1000	0	200000	0															
He139	138	2	6	1	7	3	5	SIS3302	EFIR	120	10000	0	0.000132869	0	20	3500	0	3500	1000	0	200000	0															
He140	139	2	6	1	7	3	6	SIS3302	EFIR	120	10000	0	0.0001322641	0	20	3500	0	3500	1000	0	200000	0															
D4Black	140	2	7	2	1	1	0	SIS3302	EFIR	15	10000	-0.6545742444	0.001558636	0	20	16000	0	8000	1000	0	200000	0															
D4Red	141	2	7	2	1	2	1	SIS3302	EFIR	15	10000	0.4330534066	0.0006599344	0	20	16000	0	8000	1000	0	200000	0															
D4Green	142	2	7	2	1	3	2	SIS3302	EFIR	15	10000	2.001278013	0.0015311753	0	20	16000	0	8000	1000	0	200000	0															
D4Blue	143	2	7	2	1	4	3	SIS3302	EFIR	15	10000	1.0994163913	0.0015807021	0	20	16000	0	8000	1000	0	200000	0															
G7Black	144	2	7	2	2	1	4	SIS3302	EFIR	15	10000	-0.5577366054	0.0007046135	0	20	16000	0	8000	1000	0	200000	0															
G7Red	145	2	7	2	2	2	5	SIS3302	EFIR	15	10000	-0.6254548603	0.000683305	0	20	16000	0	8000	1000	0	200000	0															
G7Green	146	2	7	2	2	3	6	SIS3302	EFIR	15	10000	-0.1966707051	0.0006685615	0	20	16000	0	8000	1000	0	200000	0															
G7Blue	147	2	7	2	2	4	7	SIS3302	EFIR	15	10000	-0.2212697416	0.0006968099	0	20	16000	0	8000	1000	0	200000	0															
F11_PL_R_LG	148	2	8	3	1	1	2	SIS3316	EFIR	0	10000	0	2.73	0	20	2000	0	20000	1000	0	200000	0															
F11_PL_L_LG	149	2	8	3	1	2	3	SIS3316	EFIR	0	10000	0	2.32	0	20	2000	0	20000	1000	0	200000	0															
F11_PL_R	150	2	8	3	2	1	0	SIS3316	EFIR	0	10000	0	0.273	0	20	2000	0	20000	1000	0	200000	0															
F11_PL_L	151	2	8	3	2	2	1	SIS3316	EFIR	0	10000	0	0.232	0	20	2000	0	20000	1000	0	200000	0															
AIDA_PL	152	2	8	3	3	0	4	SIS3316	EFIR	0	10000	0	0.000247961	0	20	2000	0	20000	1000	0	200000	0															
DTPulser	153	2	8	3	4	0	5	SIS3316	EFIR	120	10000	0	0.001	0	20	2000	0	3500	1000	0	200000	0															
BigRTrig	154	1	6	3	5	0	15	SIS3316	EFIR	120	10000	0	0.1	0	20	2000	0	3500	1000	0	200000	0															
xa	155	1	7	5	4	0	0	SIS3316	EFIR	0	200000	0	0.0727872457	0	4	3500	0	200000	1000	0	200000	0															
xb	156	1	7	5	4	1	1	SIS3316	EFIR	0	200000	0	0.0727872457	0	4	3500	0	200000	1000	0	200000	0															
ya	157	1	7	5	4	2	2	SIS3316	EFIR	0	200000	0	0.0727872457	0	4	3500	0	200000	1000	0	200000	0															
yb	158	1	7	5	4	3	3	SIS3316	EFIR	0	200000	0	0.0727872457	0	4	3500	0	200000	1000	0	200000	0															
dyn	159	1	7	5	4	4	4	SIS3316	EFIR	0	215000	0	1.0	0	4	3500	0	200000	1000	0	200000	0															
xaL	160	1	7	4	4	0	8	SIS3316	EFIR	0	200000	0	0.730684327	0	4	3500	0	200000	1000	0	200000	0															
xbL	161	1	7	4	4	1	9	SIS3316	EFIR	0	200000	0	0.730684327	0	4	3500	0	200000	1000	0	200000	0															
yaL	162	1	7	4	4	2	10	SIS3316	EFIR	0	200000	0	0.730684327	0	4	3500	0	200000	1000	0	200000	0															
ybL	163	1	7	4	4	3	11	SIS3316	EFIR	0	200000	0	0.730684327	0	4	3500	0	200000	1000	0	200000	0															
dynL	164	1	7	4	4	4	12	SIS3316	EFIR	18000	200000	0	1.0	0	4	3500	0	200000	1000	0	200000	0															
